Player,Season,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,Int,Fumbles,FumblesLost,PPR,Rank,Avg Pick,rookie_season,No.,Round,Pick,College,current_yr,FPPG
Greg Little,2013,CLE,WR,24,16,13,99.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,465.0,2.0,0.0,0.0,0.0,99.5,262,156.32,2011.0,6,2,27,North Carolina,3.0,6.21875
Andre Roberts,2013,ARI,WR,25,16,2,76.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,471.0,2.0,0.0,0.0,0.0,102.1,312,174.27,2010.0,10,3,24,Citadel,4.0,6.38125
Andre Roberts,2014,WAS,WR,26,16,4,73.0,36.0,0.0,0.0,0.0,21.0,0.0,2.0,453.0,2.0,0.0,4.0,2.0,91.4,385,230.58,2010.0,10,3,24,Citadel,5.0,5.7125
Mohamed Sanu,2013,CIN,WR,24,16,14,77.0,47.0,25.0,0.0,1.0,16.0,0.0,4.0,455.0,2.0,0.0,1.0,1.0,105.1,274,159.77,2012.0,12,3,20,Rutgers,2.0,6.56875
Mohamed Sanu,2014,CIN,WR,25,16,13,98.0,56.0,79.0,1.0,3.0,51.0,0.0,7.0,790.0,5.0,0.0,0.0,0.0,177.26,311,190.32,2012.0,12,3,20,Rutgers,3.0,11.07875
Mohamed Sanu,2015,CIN,WR,26,16,4,49.0,33.0,0.0,0.0,0.0,71.0,2.0,10.0,394.0,0.0,0.0,2.0,0.0,91.5,354,196.13,2012.0,12,3,20,Rutgers,4.0,5.71875
Mohamed Sanu,2016,ATL,WR,27,15,15,81.0,59.0,0.0,0.0,0.0,5.0,0.0,1.0,653.0,4.0,0.0,1.0,1.0,146.8,165,128.82,2012.0,12,3,20,Rutgers,5.0,9.786666666666667
Mohamed Sanu,2017,ATL,WR,28,15,15,96.0,67.0,51.0,1.0,1.0,10.0,0.0,4.0,703.0,5.0,0.0,0.0,0.0,174.34,240,162.99,2012.0,12,3,20,Rutgers,6.0,11.622666666666667
Mohamed Sanu,2018,ATL,WR,29,16,16,94.0,66.0,5.0,1.0,2.0,44.0,0.0,7.0,838.0,4.0,0.0,2.0,1.0,180.4,210,136.49,2012.0,12,3,20,Rutgers,7.0,11.275
Chris Givens,2013,LAR,WR,24,16,13,83.0,34.0,0.0,0.0,0.0,8.0,0.0,3.0,569.0,0.0,0.0,1.0,1.0,89.7,136,111.37,2012.0,14,4,1,Wake Forest,2.0,5.60625
Chris Givens,2014,LAR,WR,25,14,0,20.0,11.0,0.0,0.0,0.0,4.0,0.0,1.0,159.0,1.0,0.0,0.0,0.0,33.3,392,236.83,2012.0,14,4,1,Wake Forest,3.0,2.3785714285714286
Leonard Hankerson,2013,WAS,WR,24,10,7,50.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,3.0,0.0,0.0,0.0,85.5,391,206.98,2011.0,9,3,15,Miami (FL),3.0,8.55
Santana Moss,2013,WAS,WR,34,16,1,79.0,42.0,0.0,0.0,0.0,25.0,0.0,3.0,452.0,2.0,0.0,2.0,2.0,97.7,345,187.4,2001.0,4,1,16,Miami (FL),13.0,6.10625
Jason Avant,2013,PHI,WR,30,16,13,77.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,447.0,2.0,0.0,1.0,1.0,92.7,377,200.21,2006.0,13,4,12,Michigan,8.0,5.79375
Vincent Brown,2013,LAC,WR,24,16,12,70.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,472.0,1.0,0.0,0.0,0.0,94.2,143,113.76,2011.0,10,3,18,San Diego State,3.0,5.8875
Santonio Holmes,2013,NYJ,WR,29,11,11,59.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,456.0,1.0,0.0,0.0,0.0,74.6,314,174.91,2006.0,1,1,25,Ohio State,8.0,6.781818181818181
Nate Burleson,2013,DET,WR,32,9,8,55.0,39.0,0.0,0.0,0.0,-8.0,0.0,2.0,461.0,1.0,0.0,1.0,0.0,90.30000000000001,378,200.4,2003.0,10,3,7,Nevada,11.0,10.033333333333335
Brandon Gibson,2013,MIA,WR,26,7,3,43.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,326.0,3.0,0.0,0.0,0.0,80.6,402,219.77,2009.0,25,6,21,Washington State,5.0,11.514285714285714
Justin Blackmon,2013,JAC,WR,23,4,4,48.0,29.0,0.0,0.0,0.0,-1.0,0.0,1.0,415.0,1.0,0.0,0.0,0.0,76.4,118,105.79,2012.0,1,1,5,Oklahoma State,2.0,19.1
Marquise Goodwin,2013,BUF,WR,23,12,1,32.0,17.0,0.0,0.0,0.0,13.0,0.0,3.0,283.0,3.0,0.0,1.0,1.0,62.599999999999994,159,118.08,2013.0,9,3,16,Texas,1.0,5.216666666666666
Marquise Goodwin,2017,SFO,WR,27,16,16,105.0,56.0,0.0,0.0,0.0,44.0,0.0,4.0,962.0,2.0,0.0,0.0,0.0,168.60000000000002,313,197.78,2013.0,9,3,16,Texas,5.0,10.537500000000001
Marquise Goodwin,2018,SFO,WR,28,11,8,43.0,23.0,0.0,0.0,0.0,9.0,0.0,4.0,395.0,4.0,0.0,1.0,0.0,87.4,73,70.48,2013.0,9,3,16,Texas,6.0,7.945454545454546
Marquise Goodwin,2019,SFO,WR,29,9,6,21.0,12.0,0.0,0.0,0.0,15.0,0.0,1.0,186.0,1.0,0.0,0.0,0.0,38.1,315,159.6,2013.0,9,3,16,Texas,7.0,4.233333333333333
Darrius Heyward-Bey,2013,IND,WR,26,16,11,64.0,29.0,0.0,0.0,0.0,26.0,0.0,3.0,309.0,1.0,0.0,0.0,0.0,68.5,251,153.38,2009.0,1,1,7,Maryland,5.0,4.28125
Brian Quick,2013,LAR,WR,24,16,5,35.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,302.0,2.0,0.0,0.0,0.0,60.2,333,180.87,2012.0,5,2,1,Appalachian State,2.0,3.7625
Brian Quick,2014,LAR,WR,25,7,7,39.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,3.0,0.0,0.0,0.0,80.5,353,210.88,2012.0,5,2,1,Appalachian State,3.0,11.5
Brian Quick,2015,LAR,WR,26,13,2,32.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,20.200000000000003,150,125.07,2012.0,5,2,1,Appalachian State,4.0,1.553846153846154
Sidney Rice,2013,SEA,WR,27,8,6,35.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,3.0,0.0,1.0,1.0,54.1,166,121.37,2007.0,7,2,12,South Carolina,7.0,6.7625
Stephen Hill,2013,NYJ,WR,22,12,11,59.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,1.0,0.0,1.0,1.0,62.2,335,182.39,2012.0,6,2,11,Georgia Tech,2.0,5.183333333333334
Mike Williams,2013,TBB,WR,26,6,5,40.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,2.0,0.0,0.0,0.0,55.6,92,90.05,2017.0,2,1,7,Clemson,-3.0,9.266666666666667
Mike Williams,2013,TBB,WR,26,6,5,40.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,2.0,0.0,0.0,0.0,55.6,92,90.05,2010.0,14,4,3,Syracuse,4.0,9.266666666666667
Mike Williams,2013,TBB,WR,26,6,5,40.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,2.0,0.0,0.0,0.0,55.6,92,90.05,2005.0,3,1,10,USC,9.0,9.266666666666667
Mike Williams,2017,LAC,WR,23,10,1,23.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,20.5,230,157.39,2017.0,2,1,7,Clemson,1.0,2.05
Mike Williams,2017,LAC,WR,23,10,1,23.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,20.5,230,157.39,2010.0,14,4,3,Syracuse,8.0,2.05
Mike Williams,2017,LAC,WR,23,10,1,23.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,20.5,230,157.39,2005.0,3,1,10,USC,13.0,2.05
Mike Williams,2018,LAC,WR,24,16,5,66.0,43.0,0.0,0.0,0.0,28.0,1.0,7.0,664.0,10.0,0.0,0.0,0.0,178.2,158,121.85,2017.0,2,1,7,Clemson,2.0,11.1375
