Rank,Player,Avg Pick,Pos,Tm,Season
88,Brian Robinson,83.9,RB,WAS,2023
89,Courtland Sutton,83.9,WR,DEN,2023
90,Brandin Cooks,84.2,WR,DAL,2023
91,T.J. Watt,84.24,DE,PIT,2023
92,Drew Sanders,85.98,LB,DEN,2023
93,Tua Tagovailoa,86.89,QB,MIA,2023
94,Zach Charbonnet,87.49,RB,SEA,2023
95,Will Levis,88.7,QB,TEN,2023
96,Gabriel Davis,88.79,WR,BUF,2023
97,Pat Freiermuth,89.73,TE,PIT,2023
98,AJ Dillon,91.47,RB,GBP,2023
99,Geno Smith,93.68,QB,SEA,2023
100,Tyree Wilson,93.84,DE,LVR,2023
101,Antonio Gibson,93.99,RB,WAS,2023
102,Jalen HOU SPitre,95.13,S,HOU,2023
103,Maxx Crosby,95.85,DE,LVR,2023
104,DeWayne McBride,95.88,RB,FA,2023
105,C.J. Mosley,96.14,LB,NYJ,2023
106,JuJu Smith-Schuster,96.24,WR,NEP,2023
107,Zaire Franklin,96.68,LB,IND,2023
108,Quentin Johnston,98.65,WR,LAC,2023
109,Jalen Carter,99.2,DT,PHI,2023
110,David Njoku,99.59,TE,CLE,2023
111,Dalton Kincaid,99.83,TE,BUF,2023
112,Derwin LAC SJames,100.81,S,LAC,2023
113,Raheem Mostert,100.84,RB,MIA,2023
114,Odell Beckham,100.87,WR,BAL,2023
115,C.J. Stroud,101.59,QB,HOU,2023
116,Dorian Thompson-Robinson,101.82,QB,CLE,2023
117,Jamaal Williams,102.42,RB,NOS,2023
118,Bobby Wagner,102.58,LB,SEA,2023
119,Darnell Washington,103.23,TE,PIT,2023
120,Aidan O'Connell,103.52,QB,LVR,2023
121,Myles Garrett,103.77,DE,CLE,2023
122,Tucker Kraft,104.1,TE,GBP,2023
123,"49ers, San Francisco SFO Def",104.19,Def,SFO,2023
124,Israel Abanikanda,104.5,RB,NYJ,2023
125,Charlie Jones,104.8,WR,CIN,2023
126,Jerick McKinnon,104.85,RB,KCC,2023
127,A.T. Perry,105.22,WR,NOS,2023
128,Skyy Moore,105.96,WR,KCC,2023
129,Cedric Tillman,106.09,WR,CLE,2023
130,Tyler Scott,107.08,WR,CHI,2023
131,Nick Bosa,107.55,DE,SFO,2023
132,Bobby Okereke,107.63,LB,NYG,2023
133,Tank Bigsby,108.63,RB,JAC,2023
134,Bryce Young,108.94,QB,CAR,2023
135,Zach Evans,109.16,RB,LAR,2023
136,Kadarius Toney,109.28,WR,KCC,2023
137,Samaje Perine,109.55,RB,DEN,2023
138,Josh Downs,109.76,WR,IND,2023
139,Ezekiel Elliott,109.84,RB,NEP,2023
140,Brian DET SBranch,110.29,S,DET,2023
141,Kayshon Boutte,110.51,WR,NEP,2023
142,Jordan CIN SBattle,110.77,S,CIN,2023
143,Michael Mayer,111.38,TE,LVR,2023
144,De'Von Achane,111.62,RB,MIA,2023
145,Haason Reddick,112.04,DE,PHI,2023
146,Justin Tucker,112.11,PK,BAL,2023
147,Logan Wilson,112.21,LB,CIN,2023
148,Elijah Moore,112.36,WR,CLE,2023
149,Fred Warner,113.43,LB,SFO,2023
150,"Eagles, Philadelphia PHI Def",113.65,Def,PHI,2023
151,Luke Schoonmaker,115.45,TE,DAL,2023
152,Michael Wilson,115.46,WR,ARI,2023
